date,code,min,max
2017-01-01,VANGQUOITAY,0.2,0.3
2017-01-02,VANGQUOITAY,0.2,0.3
2017-01-03,VANGQUOITAY,0.2,0.4
2017-01-04,VANGQUOITAY,0.2,0.2
2017-01-05,VANGQUOITAY,0.2,0.2
2017-01-06,VANGQUOITAY,0.2,0.2
2017-01-07,VANGQUOITAY,0.2,0.2
2017-01-08,VANGQUOITAY,0.2,0.2
2017-01-09,VANGQUOITAY,0.2,0.2
2017-01-10,VANGQUOITAY,0.2,0.2
2017-01-11,VANGQUOITAY,0.2,0.2
2017-01-12,VANGQUOITAY,0.2,0.2
2017-01-13,VANGQUOITAY,0.2,0.2
2017-01-14,VANGQUOITAY,0.3,1.1
2017-01-15,VANGQUOITAY,0.6,1.0
2017-01-16,VANGQUOITAY,0.3,0.8
2017-01-17,VANGQUOITAY,0.2,0.2
2017-01-18,VANGQUOITAY,0.1,0.2
2017-01-19,VANGQUOITAY,0.1,0.2
2017-01-20,VANGQUOITAY,0.2,0.2
2017-01-21,VANGQUOITAY,0.2,0.4
2017-01-22,VANGQUOITAY,0.2,0.3
2017-01-23,VANGQUOITAY,0.5,1.0
2017-01-24,VANGQUOITAY,1.0,1.3
2017-01-25,VANGQUOITAY,1.0,1.7
2017-01-26,VANGQUOITAY,0.2,3.7
2017-01-27,VANGQUOITAY,2.0,2.8
2017-01-28,VANGQUOITAY,0.5,1.7
2017-01-29,VANGQUOITAY,0.8,1.7
2017-01-30,VANGQUOITAY,0.7,2.0
2017-01-31,VANGQUOITAY,0.3,2.1
2017-02-01,VANGQUOITAY,0.2,0.9
2017-02-02,VANGQUOITAY,0.2,0.2
2017-02-03,VANGQUOITAY,0.3,0.5
2017-02-04,VANGQUOITAY,0.3,0.5
2017-02-05,VANGQUOITAY,0.3,0.4
2017-02-06,VANGQUOITAY,0.2,0.3
2017-02-07,VANGQUOITAY,0.2,0.4
2017-02-08,VANGQUOITAY,0.3,0.6
2017-02-09,VANGQUOITAY,0.5,0.5
2017-02-10,VANGQUOITAY,0.3,0.7
2017-02-11,VANGQUOITAY,0.9,2.5
2017-02-12,VANGQUOITAY,0.8,2.0
2017-02-13,VANGQUOITAY,0.9,1.4
2017-02-14,VANGQUOITAY,0.3,0.5
2017-02-15,VANGQUOITAY,0.8,1.4
2017-02-16,VANGQUOITAY,0.3,0.4
2017-02-17,VANGQUOITAY,0.2,0.6
2017-02-18,VANGQUOITAY,0.3,0.5
2017-02-19,VANGQUOITAY,0.4,0.4
2017-02-20,VANGQUOITAY,0.2,0.3
2017-02-21,VANGQUOITAY,0.3,0.5
2017-02-22,VANGQUOITAY,0.5,0.9
2017-02-23,VANGQUOITAY,0.9,1.5
2017-02-24,VANGQUOITAY,1.0,1.8
2017-02-25,VANGQUOITAY,2.5,4.7
2017-02-26,VANGQUOITAY,2.4,4.5
2017-02-27,VANGQUOITAY,3.8,6.0
2017-02-28,VANGQUOITAY,3.2,5.8
2017-03-01,VANGQUOITAY,1.5,4.1
2017-03-02,VANGQUOITAY,1.9,4.5
2017-03-03,VANGQUOITAY,1.8,3.2
2017-03-04,VANGQUOITAY,0.9,1.3
2017-03-05,VANGQUOITAY,1.3,1.5
2017-03-06,VANGQUOITAY,1.1,1.8
2017-03-07,VANGQUOITAY,0.7,1.4
2017-03-08,VANGQUOITAY,0.8,0.9
2017-03-09,VANGQUOITAY,1.0,1.4
2017-03-10,VANGQUOITAY,1.0,1.5
2017-03-11,VANGQUOITAY,1.1,1.3
2017-03-12,VANGQUOITAY,1.3,1.9
2017-03-13,VANGQUOITAY,1.1,1.4
2017-03-14,VANGQUOITAY,1.2,1.3
2017-03-15,VANGQUOITAY,0.3,1.5
2017-03-16,VANGQUOITAY,0.3,1.1
2017-03-17,VANGQUOITAY,0.3,0.7
2017-03-18,VANGQUOITAY,0.3,0.5
2017-03-19,VANGQUOITAY,0.3,0.4
2017-03-20,VANGQUOITAY,0.3,0.5
2017-03-21,VANGQUOITAY,0.6,1.7
2017-03-22,VANGQUOITAY,0.9,2.0
2017-03-23,VANGQUOITAY,0.5,2.1
2017-03-24,VANGQUOITAY,0.6,2.6
2017-03-25,VANGQUOITAY,1.2,2.2
2017-03-26,VANGQUOITAY,1.7,3.1
2017-03-27,VANGQUOITAY,4.1,5.6
2017-03-28,VANGQUOITAY,4.8,6.0
2017-03-29,VANGQUOITAY,4.1,6.2
2017-03-30,VANGQUOITAY,3.7,6.2
2017-03-31,VANGQUOITAY,2.0,3.9
2017-04-01,VANGQUOITAY,2.5,3.4
2017-04-02,VANGQUOITAY,1.3,2.0
2017-04-03,VANGQUOITAY,1.7,2.1
2017-04-04,VANGQUOITAY,1.9,2.8
2017-04-05,VANGQUOITAY,1.8,2.1
2017-04-06,VANGQUOITAY,1.7,2.2
2017-04-07,VANGQUOITAY,2.4,3.0
2017-04-08,VANGQUOITAY,2.1,3.1
2017-04-09,VANGQUOITAY,1.3,1.5
2017-04-10,VANGQUOITAY,1.1,1.3
2017-04-11,VANGQUOITAY,1.0,1.2
2017-04-12,VANGQUOITAY,0.7,0.9
2017-04-13,VANGQUOITAY,0.6,0.8
2017-04-14,VANGQUOITAY,0.6,1.1
2017-04-15,VANGQUOITAY,0.4,0.6
2017-04-16,VANGQUOITAY,0.5,0.7
2017-04-17,VANGQUOITAY,0.6,0.8
2017-04-18,VANGQUOITAY,0.3,0.4
2017-04-19,VANGQUOITAY,0.3,0.5
2017-04-20,VANGQUOITAY,1.0,1.3
2017-04-21,VANGQUOITAY,0.5,0.7
2017-04-22,VANGQUOITAY,1.1,2.3
2017-04-23,VANGQUOITAY,5.5,5.6
2017-04-24,VANGQUOITAY,3.1,5.0
2017-04-25,VANGQUOITAY,3.9,5.2
2017-04-26,VANGQUOITAY,3.7,5.5
2017-04-27,VANGQUOITAY,3.9,5.7
2017-04-28,VANGQUOITAY,5.2,5.6
2017-04-29,VANGQUOITAY,3.0,5.0
2017-04-30,VANGQUOITAY,2.4,2.9
2017-05-01,VANGQUOITAY,1.7,2.1
2017-05-02,VANGQUOITAY,1.8,2.4
2017-05-03,VANGQUOITAY,1.6,2.3
2017-05-04,VANGQUOITAY,1.4,2.6
2017-05-05,VANGQUOITAY,1.6,2.2
2017-05-06,VANGQUOITAY,1.4,1.8
2017-05-07,VANGQUOITAY,1.5,2.1
2017-05-08,VANGQUOITAY,1.3,2.2
2017-05-09,VANGQUOITAY,1.7,1.8
2017-05-10,VANGQUOITAY,1.5,2.1
2017-05-11,VANGQUOITAY,0.9,1.4
2017-05-12,VANGQUOITAY,0.8,1.6
2017-05-13,VANGQUOITAY,0.6,0.6
2017-05-14,VANGQUOITAY,0.2,0.3
2017-05-15,VANGQUOITAY,0.2,0.5
2017-05-16,VANGQUOITAY,0.2,0.2
2017-05-17,VANGQUOITAY,0.2,0.2
2017-05-18,VANGQUOITAY,0.2,0.2
2017-05-19,VANGQUOITAY,0.2,0.3
2017-05-20,VANGQUOITAY,0.2,0.4
2017-05-21,VANGQUOITAY,0.2,0.4
2017-05-22,VANGQUOITAY,0.2,0.6
2017-05-23,VANGQUOITAY,0.2,0.8
2017-05-24,VANGQUOITAY,0.2,0.4
2017-05-25,VANGQUOITAY,0.2,0.2
2017-05-26,VANGQUOITAY,0.2,0.2
2017-05-27,VANGQUOITAY,0.2,0.2
2017-05-28,VANGQUOITAY,0.2,0.2
2017-05-29,VANGQUOITAY,0.2,0.2
2017-05-30,VANGQUOITAY,0.2,0.2
