date,code,min,max
2017-01-01,PHUOCLONG,0.1,0.1
2017-01-02,PHUOCLONG,0.1,0.1
2017-01-03,PHUOCLONG,0.1,0.1
2017-01-04,PHUOCLONG,0.1,0.1
2017-01-05,PHUOCLONG,0.1,0.1
2017-01-06,PHUOCLONG,0.1,0.1
2017-01-07,PHUOCLONG,0.1,0.1
2017-01-08,PHUOCLONG,0.1,0.1
2017-01-09,PHUOCLONG,0.1,0.1
2017-01-10,PHUOCLONG,0.1,0.1
2017-01-11,PHUOCLONG,0.1,0.1
2017-01-12,PHUOCLONG,0.1,0.1
2017-01-13,PHUOCLONG,0.1,0.1
2017-01-14,PHUOCLONG,0.2,0.2
2017-01-15,PHUOCLONG,0.1,0.2
2017-01-16,PHUOCLONG,0.1,0.1
2017-01-17,PHUOCLONG,0.1,0.1
2017-01-18,PHUOCLONG,0.1,0.1
2017-01-19,PHUOCLONG,0.1,0.1
2017-01-20,PHUOCLONG,0.1,0.1
2017-01-21,PHUOCLONG,0.1,0.1
2017-01-22,PHUOCLONG,0.2,1.3
2017-01-23,PHUOCLONG,0.1,0.2
2017-01-24,PHUOCLONG,0.1,0.3
2017-01-25,PHUOCLONG,0.3,1.3
2017-01-26,PHUOCLONG,0.3,1.0
2017-01-27,PHUOCLONG,0.3,1.5
2017-01-28,PHUOCLONG,0.4,1.7
2017-01-29,PHUOCLONG,0.3,2.2
2017-01-30,PHUOCLONG,0.3,2.7
2017-01-31,PHUOCLONG,0.3,1.7
2017-02-01,PHUOCLONG,0.3,0.3
2017-02-02,PHUOCLONG,0.2,0.2
2017-02-03,PHUOCLONG,0.2,0.2
2017-02-04,PHUOCLONG,0.2,0.2
2017-02-05,PHUOCLONG,0.2,0.2
2017-02-06,PHUOCLONG,0.2,0.2
2017-02-07,PHUOCLONG,0.1,0.2
2017-02-08,PHUOCLONG,0.2,2.5
2017-02-09,PHUOCLONG,0.2,0.2
2017-02-10,PHUOCLONG,0.2,0.3
2017-02-11,PHUOCLONG,0.3,0.4
2017-02-12,PHUOCLONG,0.1,0.2
2017-02-13,PHUOCLONG,0.2,0.2
2017-02-14,PHUOCLONG,0.5,2.1
2017-02-15,PHUOCLONG,0.2,0.6
2017-02-16,PHUOCLONG,0.5,0.7
2017-02-17,PHUOCLONG,0.4,0.6
2017-02-18,PHUOCLONG,0.4,0.6
2017-02-19,PHUOCLONG,0.6,1.1
2017-02-20,PHUOCLONG,0.7,1.3
2017-02-21,PHUOCLONG,0.8,1.5
2017-02-22,PHUOCLONG,1.2,1.4
2017-02-23,PHUOCLONG,1.6,1.8
2017-02-24,PHUOCLONG,1.4,1.7
