date,code,min,max
2018-01-01,HUNGKHANHTRUNGB,0.01,0.01
2018-01-02,HUNGKHANHTRUNGB,0.01,0.01
2018-01-03,HUNGKHANHTRUNGB,0.01,0.01
2018-01-04,HUNGKHANHTRUNGB,0.01,0.01
2018-01-05,HUNGKHANHTRUNGB,0.01,0.01
2018-01-06,HUNGKHANHTRUNGB,0.01,0.01
2018-01-07,HUNGKHANHTRUNGB,0.01,0.01
2018-01-08,HUNGKHANHTRUNGB,0.01,0.01
2018-01-09,HUNGKHANHTRUNGB,0.01,0.01
2018-01-10,HUNGKHANHTRUNGB,0.01,0.01
2018-01-11,HUNGKHANHTRUNGB,0.01,0.01
2018-01-12,HUNGKHANHTRUNGB,0.01,0.01
2018-01-13,HUNGKHANHTRUNGB,0.01,0.01
2018-01-14,HUNGKHANHTRUNGB,0.01,0.01
2018-01-15,HUNGKHANHTRUNGB,0.01,0.01
2018-01-16,HUNGKHANHTRUNGB,0.01,0.01
2018-01-17,HUNGKHANHTRUNGB,0.01,0.01
2018-01-18,HUNGKHANHTRUNGB,0.01,0.01
2018-01-19,HUNGKHANHTRUNGB,0.01,0.01
2018-01-20,HUNGKHANHTRUNGB,0.01,0.01
2018-01-21,HUNGKHANHTRUNGB,0.01,0.01
2018-01-22,HUNGKHANHTRUNGB,0.01,0.01
2018-01-23,HUNGKHANHTRUNGB,0.01,0.01
2018-01-24,HUNGKHANHTRUNGB,0.01,0.01
2018-01-25,HUNGKHANHTRUNGB,0.01,0.01
2018-01-26,HUNGKHANHTRUNGB,0.01,0.01
2018-01-27,HUNGKHANHTRUNGB,0.01,0.01
2018-01-28,HUNGKHANHTRUNGB,0.01,0.01
2018-01-29,HUNGKHANHTRUNGB,0.01,0.01
2018-01-30,HUNGKHANHTRUNGB,0.01,0.01
2018-01-31,HUNGKHANHTRUNGB,0.01,0.01
2018-02-01,HUNGKHANHTRUNGB,0.01,0.01
2018-02-02,HUNGKHANHTRUNGB,0.01,0.01
2018-02-03,HUNGKHANHTRUNGB,0.01,0.01
2018-02-04,HUNGKHANHTRUNGB,0.01,0.01
2018-02-05,HUNGKHANHTRUNGB,0.01,0.01
2018-02-06,HUNGKHANHTRUNGB,0.01,0.01
2018-02-07,HUNGKHANHTRUNGB,0.01,0.01
2018-02-08,HUNGKHANHTRUNGB,0.01,0.01
2018-02-09,HUNGKHANHTRUNGB,0.01,0.01
2018-02-10,HUNGKHANHTRUNGB,0.01,0.01
2018-02-11,HUNGKHANHTRUNGB,0.01,0.01
2018-02-12,HUNGKHANHTRUNGB,0.01,0.01
2018-02-13,HUNGKHANHTRUNGB,0.01,0.01
2018-02-14,HUNGKHANHTRUNGB,0.01,0.01
2018-02-15,HUNGKHANHTRUNGB,0.01,0.01
2018-02-16,HUNGKHANHTRUNGB,0.01,0.01
2018-02-17,HUNGKHANHTRUNGB,0.01,0.01
2018-02-18,HUNGKHANHTRUNGB,0.01,0.01
2018-02-19,HUNGKHANHTRUNGB,0.01,0.01
2018-02-20,HUNGKHANHTRUNGB,0.01,0.01
2018-02-21,HUNGKHANHTRUNGB,0.01,0.01
2018-02-22,HUNGKHANHTRUNGB,0.01,0.01
2018-02-23,HUNGKHANHTRUNGB,0.01,0.01
2018-02-24,HUNGKHANHTRUNGB,0.01,0.01
2018-02-25,HUNGKHANHTRUNGB,0.01,0.01
2018-02-26,HUNGKHANHTRUNGB,0.01,0.01
2018-02-27,HUNGKHANHTRUNGB,0.01,0.01
2018-02-28,HUNGKHANHTRUNGB,0.01,0.01
2018-03-01,HUNGKHANHTRUNGB,0.01,0.01
2018-03-02,HUNGKHANHTRUNGB,0.01,0.01
2018-03-03,HUNGKHANHTRUNGB,0.01,0.01
2018-03-04,HUNGKHANHTRUNGB,0.01,0.01
2018-03-05,HUNGKHANHTRUNGB,0.01,0.01
2018-03-06,HUNGKHANHTRUNGB,0.01,0.01
2018-03-07,HUNGKHANHTRUNGB,0.01,0.01
2018-03-08,HUNGKHANHTRUNGB,0.01,0.01
2018-03-09,HUNGKHANHTRUNGB,0.01,0.01
2018-03-10,HUNGKHANHTRUNGB,0.01,0.01
2018-03-11,HUNGKHANHTRUNGB,0.01,0.01
2018-03-12,HUNGKHANHTRUNGB,0.01,0.01
2018-03-13,HUNGKHANHTRUNGB,0.01,0.01
2018-03-14,HUNGKHANHTRUNGB,0.01,0.01
2018-03-15,HUNGKHANHTRUNGB,0.01,0.01
2018-03-16,HUNGKHANHTRUNGB,0.01,0.01
2018-03-17,HUNGKHANHTRUNGB,0.01,0.01
2018-03-18,HUNGKHANHTRUNGB,0.01,0.01
2018-03-19,HUNGKHANHTRUNGB,0.01,0.01
2018-03-20,HUNGKHANHTRUNGB,0.01,0.01
2018-03-21,HUNGKHANHTRUNGB,0.01,0.01
2018-03-22,HUNGKHANHTRUNGB,0.01,0.01
2018-03-23,HUNGKHANHTRUNGB,0.01,0.01
2018-03-24,HUNGKHANHTRUNGB,0.01,0.01
2018-03-25,HUNGKHANHTRUNGB,0.01,0.01
2018-03-26,HUNGKHANHTRUNGB,0.01,0.01
2018-03-27,HUNGKHANHTRUNGB,0.01,0.01
2018-03-28,HUNGKHANHTRUNGB,0.01,0.01
2018-03-29,HUNGKHANHTRUNGB,0.01,0.01
2018-03-30,HUNGKHANHTRUNGB,0.01,0.01
2018-03-31,HUNGKHANHTRUNGB,0.01,0.01
2018-04-01,HUNGKHANHTRUNGB,0.01,0.01
2018-04-02,HUNGKHANHTRUNGB,0.01,0.01
2018-04-03,HUNGKHANHTRUNGB,0.01,0.01
2018-04-04,HUNGKHANHTRUNGB,0.01,0.01
2018-04-05,HUNGKHANHTRUNGB,0.01,0.01
2018-04-06,HUNGKHANHTRUNGB,0.01,0.01
2018-04-07,HUNGKHANHTRUNGB,0.01,0.01
2018-04-08,HUNGKHANHTRUNGB,0.01,0.01
2018-04-09,HUNGKHANHTRUNGB,0.01,0.01
2018-04-10,HUNGKHANHTRUNGB,0.01,0.01
2018-04-11,HUNGKHANHTRUNGB,0.01,0.01
