date,code,min,max
2016-01-01,MYHOA,0.2,0.2
2016-01-02,MYHOA,0.2,0.9
2016-01-03,MYHOA,1.0,1.0
2016-01-04,MYHOA,1.5,1.7
2016-01-05,MYHOA,2.6,3.3
2016-01-06,MYHOA,3.5,4.3
2016-01-07,MYHOA,4.0,4.5
2016-01-08,MYHOA,4.2,4.5
2016-01-09,MYHOA,4.1,5.0
2016-01-10,MYHOA,3.3,4.4
2016-01-11,MYHOA,3.0,4.0
2016-01-12,MYHOA,2.8,3.4
2016-01-13,MYHOA,3.2,3.2
2016-01-14,MYHOA,3.2,3.5
2016-01-15,MYHOA,2.5,2.8
2016-01-16,MYHOA,2.2,2.4
2016-01-17,MYHOA,1.3,1.8
2016-01-18,MYHOA,0.7,0.7
2016-01-19,MYHOA,1.0,1.6
2016-01-20,MYHOA,0.9,1.5
2016-01-21,MYHOA,1.4,2.0
2016-01-22,MYHOA,1.4,1.8
2016-01-23,MYHOA,1.3,1.5
2016-01-24,MYHOA,2.3,2.3
2016-01-25,MYHOA,3.1,3.2
2016-01-26,MYHOA,3.8,4.0
2016-01-27,MYHOA,4.0,4.2
2016-01-28,MYHOA,4.0,4.3
2016-01-29,MYHOA,3.3,3.8
2016-01-30,MYHOA,2.9,3.5
2016-01-31,MYHOA,2.5,3.3
2016-02-01,MYHOA,2.0,3.2
2016-02-02,MYHOA,2.4,3.9
2016-02-03,MYHOA,3.6,3.6
2016-02-04,MYHOA,4.9,5.3
2016-02-05,MYHOA,6.5,6.6
2016-02-06,MYHOA,8.0,8.2
2016-02-07,MYHOA,8.9,9.6
2016-02-08,MYHOA,8.4,10.6
2016-02-09,MYHOA,8.2,8.3
2016-02-10,MYHOA,7.4,8.6
2016-02-11,MYHOA,6.7,8.0
2016-02-12,MYHOA,5.9,6.5
2016-02-13,MYHOA,5.1,5.4
2016-02-14,MYHOA,3.7,4.0
2016-02-15,MYHOA,2.7,3.4
2016-02-16,MYHOA,2.8,4.5
2016-02-17,MYHOA,3.5,3.5
2016-02-18,MYHOA,5.2,5.2
2016-02-19,MYHOA,5.5,6.0
2016-02-20,MYHOA,6.0,6.2
2016-02-21,MYHOA,6.2,6.6
2016-02-22,MYHOA,5.9,6.4
2016-02-23,MYHOA,5.7,6.1
2016-02-24,MYHOA,6.0,6.3
2016-02-25,MYHOA,6.3,7.1
2016-02-26,MYHOA,6.8,7.5
2016-02-27,MYHOA,7.1,8.1
2016-02-28,MYHOA,7.4,8.2
2016-02-29,MYHOA,7.5,7.9
2016-03-01,MYHOA,7.0,7.5
2016-03-02,MYHOA,6.4,6.5
2016-03-03,MYHOA,6.5,6.6
2016-03-05,MYHOA,9.5,10.2
2016-03-06,MYHOA,9.4,10.1
2016-03-07,MYHOA,9.6,10.0
2016-03-08,MYHOA,9.8,10.0
2016-03-09,MYHOA,9.6,10.4
2016-03-10,MYHOA,10.3,10.7
2016-03-11,MYHOA,10.4,10.8
2016-03-12,MYHOA,11.5,11.7
2016-03-13,MYHOA,11.2,11.4
2016-03-14,MYHOA,10.3,11.0
2016-03-15,MYHOA,10.1,10.4
2016-03-16,MYHOA,8.0,8.6
2016-03-17,MYHOA,7.7,7.7
2016-03-18,MYHOA,6.5,7.3
2016-03-19,MYHOA,7.1,7.1
2016-03-20,MYHOA,6.6,7.8
2016-03-21,MYHOA,7.4,8.0
2016-03-22,MYHOA,7.4,7.7
2016-03-23,MYHOA,7.0,7.8
2016-03-24,MYHOA,7.3,7.8
2016-03-25,MYHOA,7.7,8.1
2016-03-26,MYHOA,8.8,9.2
2016-03-27,MYHOA,9.5,10.5
2016-03-28,MYHOA,10.9,11.8
2016-03-29,MYHOA,11.9,12.4
2016-03-30,MYHOA,11.4,12.2
2016-03-31,MYHOA,9.1,10.0
2016-04-01,MYHOA,9.6,9.6
2016-04-02,MYHOA,9.1,9.1
2016-04-03,MYHOA,8.7,8.7
2016-04-04,MYHOA,7.5,7.8
2016-04-05,MYHOA,7.5,9.0
2016-04-06,MYHOA,8.5,8.9
2016-04-07,MYHOA,8.3,8.8
2016-04-08,MYHOA,8.2,8.5
2016-04-09,MYHOA,8.2,8.2
2016-04-10,MYHOA,7.6,8.0
2016-04-11,MYHOA,6.7,6.8
2016-04-12,MYHOA,5.4,6.1
2016-04-13,MYHOA,3.3,4.5
2016-04-14,MYHOA,3.7,3.7
2016-04-15,MYHOA,3.1,3.1
2016-04-16,MYHOA,3.0,3.0
2016-04-17,MYHOA,2.4,3.6
2016-04-18,MYHOA,2.9,3.5
2016-04-19,MYHOA,3.3,4.2
2016-04-20,MYHOA,4.4,4.9
2016-04-21,MYHOA,4.4,4.5
2016-04-22,MYHOA,3.7,4.2
2016-04-23,MYHOA,3.9,4.1
2016-04-24,MYHOA,3.8,4.0
2016-04-25,MYHOA,3.4,3.7
2016-04-26,MYHOA,2.7,2.8
2016-04-27,MYHOA,2.4,2.5
2016-04-28,MYHOA,2.0,2.2
2016-04-29,MYHOA,1.5,1.6
2016-04-30,MYHOA,1.1,1.7
2016-05-01,MYHOA,1.2,1.8
2016-05-02,MYHOA,1.6,1.6
2016-05-03,MYHOA,1.3,1.8
2016-05-04,MYHOA,1.6,2.1
2016-05-05,MYHOA,2.0,2.5
2016-05-06,MYHOA,2.7,2.9
2016-05-07,MYHOA,3.2,3.6
2016-05-08,MYHOA,3.5,3.7
2016-05-09,MYHOA,3.3,3.5
2016-05-10,MYHOA,3.3,3.4
2016-05-11,MYHOA,2.8,2.9
2016-05-12,MYHOA,2.6,2.6
2016-05-13,MYHOA,1.7,2.5
2016-05-14,MYHOA,1.3,2.4
2016-05-15,MYHOA,2.3,2.3
2016-05-16,MYHOA,1.9,2.3
2016-05-17,MYHOA,1.9,2.9
2016-05-18,MYHOA,2.2,2.9
2016-05-19,MYHOA,2.3,2.4
2016-05-20,MYHOA,1.7,1.9
2016-05-21,MYHOA,1.6,1.6
2016-05-22,MYHOA,1.1,1.4
2016-05-23,MYHOA,0.9,1.0
2016-05-24,MYHOA,0.7,0.8
2016-05-25,MYHOA,0.5,0.6
2016-05-26,MYHOA,0.5,0.5
2016-05-27,MYHOA,0.4,0.5
2016-05-28,MYHOA,0.2,0.4
2016-05-29,MYHOA,0.3,0.3
2016-05-30,MYHOA,0.3,0.3
2016-05-31,MYHOA,0.3,0.3
2016-06-01,MYHOA,0.3,0.3
2016-06-02,MYHOA,0.3,0.3
2016-06-03,MYHOA,0.3,0.3
2016-06-04,MYHOA,0.3,0.3
